"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Argentina","4.4","II.1.1 Generation of income account  -  Uses","Compensation of employees","D.1","2012","1000","Argentine peso","2008","Western calendar year","28901628000",""
"Argentina","4.4","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2012","1000","Argentine peso","2008","Western calendar year","-1396087562.04166",""
"Argentina","4.4","II.1.2 Allocation of primary income account  -  Resources","OPERATING SURPLUS, GROSS","B.2g","2012","1000","Argentine peso","2008","Western calendar year","-1396087562.04166",""
"Argentina","4.4","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2012","1000","Argentine peso","2008","Western calendar year","42106910000",""
"Argentina","4.4","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2012","1000","Argentine peso","2008","Western calendar year","8085983642.40434",""
"Argentina","4.4","II.1.1 Generation of income account  -  Uses","Compensation of employees","D.1","2011","1000","Argentine peso","2008","Western calendar year","21967907000",""
"Argentina","4.4","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2011","1000","Argentine peso","2008","Western calendar year","-3105790994.52499",""
"Argentina","4.4","II.1.2 Allocation of primary income account  -  Resources","OPERATING SURPLUS, GROSS","B.2g","2011","1000","Argentine peso","2008","Western calendar year","-3105790994.52499",""
"Argentina","4.4","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2011","1000","Argentine peso","2008","Western calendar year","32447292000",""
"Argentina","4.4","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2011","1000","Argentine peso","2008","Western calendar year","5649626638.25186",""
"Argentina","4.4","II.1.1 Generation of income account  -  Uses","Compensation of employees","D.1","2010","1000","Argentine peso","2008","Western calendar year","17349265000",""
"Argentina","4.4","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2010","1000","Argentine peso","2008","Western calendar year","-579035423.916668",""
"Argentina","4.4","II.1.2 Allocation of primary income account  -  Resources","OPERATING SURPLUS, GROSS","B.2g","2010","1000","Argentine peso","2008","Western calendar year","-579035423.916668",""
"Argentina","4.4","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2010","1000","Argentine peso","2008","Western calendar year","28259484000",""
"Argentina","4.4","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2010","1000","Argentine peso","2008","Western calendar year","5258189094.58341",""
"Argentina","4.4","II.1.1 Generation of income account  -  Uses","Compensation of employees","D.1","2009","1000","Argentine peso","2008","Western calendar year","13468444000",""
"Argentina","4.4","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2009","1000","Argentine peso","2008","Western calendar year","2480337379.725",""
"Argentina","4.4","II.1.2 Allocation of primary income account  -  Resources","OPERATING SURPLUS, GROSS","B.2g","2009","1000","Argentine peso","2008","Western calendar year","2480337379.725",""
"Argentina","4.4","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2009","1000","Argentine peso","2008","Western calendar year","23696633000",""
"Argentina","4.4","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2009","1000","Argentine peso","2008","Western calendar year","3266632516.24136",""
"Argentina","4.4","II.1.1 Generation of income account  -  Uses","Compensation of employees","D.1","2008","1000","Argentine peso","2008","Western calendar year","10869273000",""
"Argentina","4.4","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2008","1000","Argentine peso","2008","Western calendar year","3667805206.74166",""
"Argentina","4.4","II.1.2 Allocation of primary income account  -  Resources","OPERATING SURPLUS, GROSS","B.2g","2008","1000","Argentine peso","2008","Western calendar year","3667805206.74166",""
"Argentina","4.4","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2008","1000","Argentine peso","2008","Western calendar year","16802533000",""
