"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Armenia","4.7","I. Production account - Uses","Less: Consumption of fixed capital","K.1","2014","1000","dram","2008","Western calendar year","2741600000",""
"Armenia","4.7","II.1.1 Generation of income account - Uses","Compensation of employees","D.1","2014","1000","dram","2008","Western calendar year","10924700000",""
"Armenia","4.7","II.1.1 Generation of income account - Uses","OPERATING SURPLUS, GROSS","B.2g","2014","1000","dram","2008","Western calendar year","2741600000",""
"Armenia","4.7","II.1.2 Allocation of primary income account - Resources","OPERATING SURPLUS, GROSS","B.2g","2014","1000","dram","2008","Western calendar year","2741600000",""
"Armenia","4.7","II.1.2 Allocation of primary income account - Resources","Property income","D.4","2014","1000","dram","2008","Western calendar year","3003900000",""
"Armenia","4.7","II.1.2 Allocation of primary income account - Uses","Property income","D.4","2014","1000","dram","2008","Western calendar year","0",""
"Armenia","4.7","I. Production account - Uses","Less: Consumption of fixed capital","K.1","2013","1000","dram","2008","Western calendar year","2665100000",""
"Armenia","4.7","II.1.1 Generation of income account - Uses","Compensation of employees","D.1","2013","1000","dram","2008","Western calendar year","10914100000",""
"Armenia","4.7","II.1.1 Generation of income account - Uses","OPERATING SURPLUS, GROSS","B.2g","2013","1000","dram","2008","Western calendar year","2665100000",""
"Armenia","4.7","II.1.2 Allocation of primary income account - Resources","OPERATING SURPLUS, GROSS","B.2g","2013","1000","dram","2008","Western calendar year","2665100000",""
"Armenia","4.7","II.1.2 Allocation of primary income account - Resources","Property income","D.4","2013","1000","dram","2008","Western calendar year","2592400000",""
"Armenia","4.7","II.1.2 Allocation of primary income account - Uses","Property income","D.4","2013","1000","dram","2008","Western calendar year","0",""
"Armenia","4.7","I. Production account - Uses","Less: Consumption of fixed capital","K.1","2012","1000","dram","2008","Western calendar year","2368700000",""
"Armenia","4.7","I. Production account - Uses","Less: Consumption of fixed capital","K.1","2012","300","dram","1993","Western calendar year","2368700000",""
"Armenia","4.7","II.1.1 Generation of income account - Uses","Compensation of employees","D.1","2012","1000","dram","2008","Western calendar year","9942700000",""
"Armenia","4.7","II.1.1 Generation of income account - Uses","Compensation of employees","D.1","2012","300","dram","1993","Western calendar year","9942700000",""
"Armenia","4.7","II.1.1 Generation of income account - Uses","OPERATING SURPLUS, GROSS","B.2g","2012","1000","dram","2008","Western calendar year","2368700000",""
"Armenia","4.7","II.1.1 Generation of income account - Uses","OPERATING SURPLUS, GROSS","B.2g","2012","300","dram","1993","Western calendar year","2368700000",""
