"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Armenia","4.6","I. Production account - Uses","Less: Consumption of fixed capital","K.1","2015","1000","dram","2008","Western calendar year","251303000000",""
"Armenia","4.6","II.1.1 Generation of income account - Uses","Compensation of employees","D.1","2015","1000","dram","2008","Western calendar year","182780800000",""
"Armenia","4.6","II.1.1 Generation of income account - Uses","OPERATING SURPLUS, GROSS","B.2g","2015","1000","dram","2008","Western calendar year","1384940800000",""
"Armenia","4.6","II.1.2 Allocation of primary income account - Resources","OPERATING SURPLUS, GROSS","B.2g","2015","1000","dram","2008","Western calendar year","1384940800000",""
"Armenia","4.6","II.1.2 Allocation of primary income account - Resources","Compensation of employees","D.1","2015","1000","dram","2008","Western calendar year","2050414000000",""
"Armenia","4.6","II.1.2 Allocation of primary income account - Resources","Property income","D.4","2015","1000","dram","2008","Western calendar year","110190000000",""
"Armenia","4.6","II.1.2 Allocation of primary income account - Uses","Property income","D.4","2015","1000","dram","2008","Western calendar year","126843500000",""
"Armenia","4.6","I. Production account - Uses","Less: Consumption of fixed capital","K.1","2014","1000","dram","2008","Western calendar year","248835000000",""
"Armenia","4.6","II.1.1 Generation of income account - Uses","Compensation of employees","D.1","2014","1000","dram","2008","Western calendar year","170593300000",""
"Armenia","4.6","II.1.1 Generation of income account - Uses","OPERATING SURPLUS, GROSS","B.2g","2014","1000","dram","2008","Western calendar year","1363648200000",""
"Armenia","4.6","II.1.2 Allocation of primary income account - Resources","OPERATING SURPLUS, GROSS","B.2g","2014","1000","dram","2008","Western calendar year","1363648200000",""
"Armenia","4.6","II.1.2 Allocation of primary income account - Resources","Compensation of employees","D.1","2014","1000","dram","2008","Western calendar year","2035287200000",""
"Armenia","4.6","II.1.2 Allocation of primary income account - Resources","Property income","D.4","2014","1000","dram","2008","Western calendar year","82204300000",""
"Armenia","4.6","II.1.2 Allocation of primary income account - Uses","Property income","D.4","2014","1000","dram","2008","Western calendar year","118556800000",""
"Armenia","4.6","I. Production account - Uses","Less: Consumption of fixed capital","K.1","2013","1000","dram","2008","Western calendar year","245616900000",""
"Armenia","4.6","II.1.1 Generation of income account - Uses","Compensation of employees","D.1","2013","1000","dram","2008","Western calendar year","171953300000",""
"Armenia","4.6","II.1.1 Generation of income account - Uses","OPERATING SURPLUS, GROSS","B.2g","2013","1000","dram","2008","Western calendar year","1319520200000",""
"Armenia","4.6","II.1.2 Allocation of primary income account - Resources","OPERATING SURPLUS, GROSS","B.2g","2013","1000","dram","2008","Western calendar year","1319520200000",""
