"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Australia","4.9","I. Production account - Uses","Less: Consumption of fixed capital","K.1","2016","1000","Australian dollar","2008","Fiscal year beginning 1 July","111860000000",""
"Australia","4.9","II.1.1 Generation of income account - Uses","MIXED INCOME, GROSS","B.3g","2016","1000","Australian dollar","2008","Fiscal year beginning 1 July","156512000000",""
"Australia","4.9","II.1.2 Allocation of primary income account - Resources","MIXED INCOME, GROSS","B.3g","2016","1000","Australian dollar","2008","Fiscal year beginning 1 July","156512000000",""
"Australia","4.9","II.1.2 Allocation of primary income account - Resources","Compensation of employees","D.1","2016","1000","Australian dollar","2008","Fiscal year beginning 1 July","825270000000",""
"Australia","4.9","II.1.2 Allocation of primary income account - Resources","Property income","D.4","2016","1000","Australian dollar","2008","Fiscal year beginning 1 July","168927000000",""
"Australia","4.9","II.1.2 Allocation of primary income account - Uses","Property income","D.4","2016","1000","Australian dollar","2008","Fiscal year beginning 1 July","75041000000",""
"Australia","4.9","I. Production account - Uses","Less: Consumption of fixed capital","K.1","2015","1000","Australian dollar","2008","Fiscal year beginning 1 July","108044000000",""
"Australia","4.9","II.1.1 Generation of income account - Uses","MIXED INCOME, GROSS","B.3g","2015","1000","Australian dollar","2008","Fiscal year beginning 1 July","143948000000",""
"Australia","4.9","II.1.2 Allocation of primary income account - Resources","MIXED INCOME, GROSS","B.3g","2015","1000","Australian dollar","2008","Fiscal year beginning 1 July","143948000000",""
"Australia","4.9","II.1.2 Allocation of primary income account - Resources","Compensation of employees","D.1","2015","1000","Australian dollar","2008","Fiscal year beginning 1 July","809076000000",""
"Australia","4.9","II.1.2 Allocation of primary income account - Resources","Property income","D.4","2015","1000","Australian dollar","2008","Fiscal year beginning 1 July","167973000000",""
"Australia","4.9","II.1.2 Allocation of primary income account - Uses","Property income","D.4","2015","1000","Australian dollar","2008","Fiscal year beginning 1 July","77038000000",""
"Australia","4.9","I. Production account - Uses","Less: Consumption of fixed capital","K.1","2014","1000","Australian dollar","2008","Fiscal year beginning 1 July","101850000000",""
"Australia","4.9","II.1.1 Generation of income account - Uses","MIXED INCOME, GROSS","B.3g","2014","1000","Australian dollar","2008","Fiscal year beginning 1 July","140916000000",""
"Australia","4.9","II.1.2 Allocation of primary income account - Resources","MIXED INCOME, GROSS","B.3g","2014","1000","Australian dollar","2008","Fiscal year beginning 1 July","140916000000",""
