"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Australia","4.8","I. Production account  -  Uses","Less: Consumption of fixed capital","K.1","2016","1000","Australian dollar","2008","Fiscal year beginning 1 July","149040000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2016","1000","Australian dollar","2008","Fiscal year beginning 1 July","204597000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2016","1000","Australian dollar","2008","Fiscal year beginning 1 July","346561000000",""
"Australia","4.8","I. Production account  -  Uses","Less: Consumption of fixed capital","K.1","2015","1000","Australian dollar","2008","Fiscal year beginning 1 July","145271000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2015","1000","Australian dollar","2008","Fiscal year beginning 1 July","200491000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2015","1000","Australian dollar","2008","Fiscal year beginning 1 July","330701000000",""
"Australia","4.8","I. Production account  -  Uses","Less: Consumption of fixed capital","K.1","2014","1000","Australian dollar","2008","Fiscal year beginning 1 July","136671000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2014","1000","Australian dollar","2008","Fiscal year beginning 1 July","202231000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2014","1000","Australian dollar","2008","Fiscal year beginning 1 July","327271000000",""
"Australia","4.8","I. Production account  -  Uses","Less: Consumption of fixed capital","K.1","2013","1000","Australian dollar","2008","Fiscal year beginning 1 July","128273000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2013","1000","Australian dollar","2008","Fiscal year beginning 1 July","200297000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2013","1000","Australian dollar","2008","Fiscal year beginning 1 July","321658000000",""
"Australia","4.8","I. Production account  -  Uses","Less: Consumption of fixed capital","K.1","2012","1000","Australian dollar","2008","Fiscal year beginning 1 July","117833000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2012","1000","Australian dollar","2008","Fiscal year beginning 1 July","202775000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2012","1000","Australian dollar","2008","Fiscal year beginning 1 July","309525000000",""
"Australia","4.8","I. Production account  -  Uses","Less: Consumption of fixed capital","K.1","2011","1000","Australian dollar","2008","Fiscal year beginning 1 July","109471000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2011","1000","Australian dollar","2008","Fiscal year beginning 1 July","222878000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2011","1000","Australian dollar","2008","Fiscal year beginning 1 July","328575000000",""
"Australia","4.8","I. Production account  -  Uses","Less: Consumption of fixed capital","K.1","2010","1000","Australian dollar","2008","Fiscal year beginning 1 July","103108000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2010","1000","Australian dollar","2008","Fiscal year beginning 1 July","221388000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2010","1000","Australian dollar","2008","Fiscal year beginning 1 July","333952000000",""
"Australia","4.8","I. Production account  -  Uses","Less: Consumption of fixed capital","K.1","2009","1000","Australian dollar","2008","Fiscal year beginning 1 July","98649000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2009","1000","Australian dollar","2008","Fiscal year beginning 1 July","188293000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2009","1000","Australian dollar","2008","Fiscal year beginning 1 July","297789000000",""
"Australia","4.8","I. Production account  -  Uses","Less: Consumption of fixed capital","K.1","2008","1000","Australian dollar","2008","Fiscal year beginning 1 July","94223000000",""
"Australia","4.8","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2008","300","Australian dollar","1993","Fiscal year beginning 1 July","311820000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","OPERATING SURPLUS, GROSS","B.2g","2008","300","Australian dollar","1993","Fiscal year beginning 1 July","311820000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2008","1000","Australian dollar","2008","Fiscal year beginning 1 July","201640000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2008","300","Australian dollar","1993","Fiscal year beginning 1 July","196215000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2008","1000","Australian dollar","2008","Fiscal year beginning 1 July","308307000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2008","300","Australian dollar","1993","Fiscal year beginning 1 July","260822000000",""
"Australia","4.8","I. Production account  -  Uses","Less: Consumption of fixed capital","K.1","2007","1000","Australian dollar","2008","Fiscal year beginning 1 July","84684000000",""
"Australia","4.8","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2007","300","Australian dollar","1993","Fiscal year beginning 1 July","290600000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","OPERATING SURPLUS, GROSS","B.2g","2007","300","Australian dollar","1993","Fiscal year beginning 1 July","290600000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2007","1000","Australian dollar","2008","Fiscal year beginning 1 July","218033000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2007","300","Australian dollar","1993","Fiscal year beginning 1 July","220746000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2007","1000","Australian dollar","2008","Fiscal year beginning 1 July","315521000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2007","300","Australian dollar","1993","Fiscal year beginning 1 July","297278000000",""
"Australia","4.8","I. Production account  -  Uses","Less: Consumption of fixed capital","K.1","2006","1000","Australian dollar","2008","Fiscal year beginning 1 July","78622000000",""
"Australia","4.8","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2006","300","Australian dollar","1993","Fiscal year beginning 1 July","266433000000",""
"Australia","4.8","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2006","200","Australian dollar     ","1993","Fiscal year beginning 1 July","253669000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","OPERATING SURPLUS, GROSS","B.2g","2006","300","Australian dollar","1993","Fiscal year beginning 1 July","266433000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","OPERATING SURPLUS, GROSS","B.2g","2006","200","Australian dollar     ","1993","Fiscal year beginning 1 July","253669000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2006","1000","Australian dollar","2008","Fiscal year beginning 1 July","175914000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2006","300","Australian dollar","1993","Fiscal year beginning 1 July","175598000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2006","200","Australian dollar     ","1993","Fiscal year beginning 1 July","182075000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2006","1000","Australian dollar","2008","Fiscal year beginning 1 July","268876000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2006","300","Australian dollar","1993","Fiscal year beginning 1 July","254324000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2006","200","Australian dollar     ","1993","Fiscal year beginning 1 July","255994000000",""
"Australia","4.8","I. Production account  -  Uses","Less: Consumption of fixed capital","K.1","2005","1000","Australian dollar","2008","Fiscal year beginning 1 July","71708000000",""
"Australia","4.8","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2005","300","Australian dollar","1993","Fiscal year beginning 1 July","240986000000",""
"Australia","4.8","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2005","200","Australian dollar     ","1993","Fiscal year beginning 1 July","227102000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","OPERATING SURPLUS, GROSS","B.2g","2005","300","Australian dollar","1993","Fiscal year beginning 1 July","240986000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","OPERATING SURPLUS, GROSS","B.2g","2005","200","Australian dollar     ","1993","Fiscal year beginning 1 July","227102000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2005","1000","Australian dollar","2008","Fiscal year beginning 1 July","135862000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2005","300","Australian dollar","1993","Fiscal year beginning 1 July","133474000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2005","200","Australian dollar     ","1993","Fiscal year beginning 1 July","149480000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2005","1000","Australian dollar","2008","Fiscal year beginning 1 July","215630000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2005","300","Australian dollar","1993","Fiscal year beginning 1 July","208428000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2005","200","Australian dollar     ","1993","Fiscal year beginning 1 July","219163000000",""
"Australia","4.8","I. Production account  -  Uses","Less: Consumption of fixed capital","K.1","2004","1000","Australian dollar","2008","Fiscal year beginning 1 July","66160000000",""
"Australia","4.8","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2004","300","Australian dollar","1993","Fiscal year beginning 1 July","214049000000",""
"Australia","4.8","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2004","200","Australian dollar     ","1993","Fiscal year beginning 1 July","204016000000",""
"Australia","4.8","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2004","100","Australian dollar                       ","1993","Fiscal year beginning 1 July","206820000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","OPERATING SURPLUS, GROSS","B.2g","2004","300","Australian dollar","1993","Fiscal year beginning 1 July","214049000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","OPERATING SURPLUS, GROSS","B.2g","2004","200","Australian dollar     ","1993","Fiscal year beginning 1 July","204016000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","OPERATING SURPLUS, GROSS","B.2g","2004","100","Australian dollar                       ","1993","Fiscal year beginning 1 July","206820000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2004","1000","Australian dollar","2008","Fiscal year beginning 1 July","118582000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2004","300","Australian dollar","1993","Fiscal year beginning 1 July","112992000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2004","200","Australian dollar     ","1993","Fiscal year beginning 1 July","128284000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2004","100","Australian dollar                       ","1993","Fiscal year beginning 1 July","127159000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2004","1000","Australian dollar","2008","Fiscal year beginning 1 July","186544000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2004","300","Australian dollar","1993","Fiscal year beginning 1 July","174377000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2004","200","Australian dollar     ","1993","Fiscal year beginning 1 July","184737000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2004","100","Australian dollar                       ","1993","Fiscal year beginning 1 July","177694000000",""
"Australia","4.8","I. Production account  -  Uses","Less: Consumption of fixed capital","K.1","2003","1000","Australian dollar","2008","Fiscal year beginning 1 July","61572000000",""
"Australia","4.8","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2003","300","Australian dollar","1993","Fiscal year beginning 1 July","195770000000",""
"Australia","4.8","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2003","200","Australian dollar     ","1993","Fiscal year beginning 1 July","188454000000",""
"Australia","4.8","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2003","100","Australian dollar                       ","1993","Fiscal year beginning 1 July","188031000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","OPERATING SURPLUS, GROSS","B.2g","2003","300","Australian dollar","1993","Fiscal year beginning 1 July","195770000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","OPERATING SURPLUS, GROSS","B.2g","2003","200","Australian dollar     ","1993","Fiscal year beginning 1 July","188454000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","OPERATING SURPLUS, GROSS","B.2g","2003","100","Australian dollar                       ","1993","Fiscal year beginning 1 July","188031000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2003","1000","Australian dollar","2008","Fiscal year beginning 1 July","100274000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2003","300","Australian dollar","1993","Fiscal year beginning 1 July","100104000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2003","200","Australian dollar     ","1993","Fiscal year beginning 1 July","109550000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2003","100","Australian dollar                       ","1993","Fiscal year beginning 1 July","108080000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2003","1000","Australian dollar","2008","Fiscal year beginning 1 July","154053000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2003","300","Australian dollar","1993","Fiscal year beginning 1 July","150439000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2003","200","Australian dollar     ","1993","Fiscal year beginning 1 July","153601000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2003","100","Australian dollar                       ","1993","Fiscal year beginning 1 July","150131000000",""
"Australia","4.8","I. Production account  -  Uses","Less: Consumption of fixed capital","K.1","2002","1000","Australian dollar","2008","Fiscal year beginning 1 July","59812000000",""
"Australia","4.8","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2002","300","Australian dollar","1993","Fiscal year beginning 1 July","175767000000",""
"Australia","4.8","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2002","200","Australian dollar     ","1993","Fiscal year beginning 1 July","171881000000",""
"Australia","4.8","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2002","100","Australian dollar                       ","1993","Fiscal year beginning 1 July","170229000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","OPERATING SURPLUS, GROSS","B.2g","2002","300","Australian dollar","1993","Fiscal year beginning 1 July","175767000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","OPERATING SURPLUS, GROSS","B.2g","2002","200","Australian dollar     ","1993","Fiscal year beginning 1 July","171881000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","OPERATING SURPLUS, GROSS","B.2g","2002","100","Australian dollar                       ","1993","Fiscal year beginning 1 July","170229000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2002","1000","Australian dollar","2008","Fiscal year beginning 1 July","88031000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2002","300","Australian dollar","1993","Fiscal year beginning 1 July","87976000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2002","200","Australian dollar     ","1993","Fiscal year beginning 1 July","92824000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","Property income","D.4","2002","100","Australian dollar                       ","1993","Fiscal year beginning 1 July","92454000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2002","1000","Australian dollar","2008","Fiscal year beginning 1 July","138473000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2002","300","Australian dollar","1993","Fiscal year beginning 1 July","137116000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2002","200","Australian dollar     ","1993","Fiscal year beginning 1 July","135790000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Uses","Property income","D.4","2002","100","Australian dollar                       ","1993","Fiscal year beginning 1 July","134655000000",""
"Australia","4.8","I. Production account  -  Uses","Less: Consumption of fixed capital","K.1","2001","1000","Australian dollar","2008","Fiscal year beginning 1 July","57765000000",""
"Australia","4.8","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2001","300","Australian dollar","1993","Fiscal year beginning 1 July","164274000000",""
"Australia","4.8","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2001","200","Australian dollar     ","1993","Fiscal year beginning 1 July","157509000000",""
"Australia","4.8","II.1.1 Generation of income account  -  Uses","OPERATING SURPLUS, GROSS","B.2g","2001","100","Australian dollar                       ","1993","Fiscal year beginning 1 July","156696000000",""
"Australia","4.8","II.1.2 Allocation of primary income account  -  Resources","OPERATING SURPLUS, GROSS","B.2g","2001","300","Australian dollar","1993","Fiscal year beginning 1 July","164274000000",""
