ccyy,totI,tot_L,tot_K,tot_S,t10_L,t10_K,t10_S,t1_L,t1_K,t1_S,defl,totw,mean_toti,nprs
at00,2.402e+12,1.631e+12,6.535e+10,1.953e+11,2.697e+11,1.044e+10,7.047e+10,3.905e+09,3.937e+08,3.287e+08,1,6702592.5,385828.37,2.4264314,
at04,1.520e+11,1.029e+11,3.151e+09,1.409e+10,3.183e+10,1.359e+09,7.069e+09,6.131e+09,7.379e+08,2.018e+09,1,3482116.3,43643.189,2.3380694,
at07,1.675e+11,1.167e+11,4.975e+09,1.492e+10,3.850e+10,2.067e+09,6.246e+09,8.008e+09,5.756e+08,2.225e+09,1,3566489,46959.705,2.3108225,
at10,1.872e+11,1.269e+11,5.681e+09,1.724e+10,4.201e+10,2.492e+09,7.300e+09,8.122e+09,1.054e+09,2.147e+09,1,3650398.3,51283.678,2.278075,
at13,2.080e+11,1.405e+11,6.446e+09,1.804e+10,4.687e+10,2.500e+09,7.646e+09,9.634e+09,1.323e+09,2.302e+09,1,3761790,55300.459,2.2338765,
at87,8.183e+11,0,0,0,0,0,0,0,0,0,1,3479750.8,235153.04,2.1780016,
at94,1.039e+12,7.489e+11,3.143e+10,9.001e+10,1.384e+11,8.702e+09,4.876e+10,0,4.785e+08,3.609e+08,1,3283474.8,359707.12,2.5070446,
at95,8.163e+11,0,0,0,0,0,0,0,0,0,1,3133118.3,301418.35,2.5246336,
at97,9.711e+11,6.852e+11,2.904e+10,7.119e+10,1.634e+11,6.001e+09,3.506e+10,1.789e+09,1.498e+08,30254496,1,2943568,360255.73,2.4776554,
ca00,6.715e+11,5.151e+11,2.514e+10,4.425e+10,1.666e+11,8.128e+09,2.069e+10,4.246e+10,3.673e+09,1.009e+10,1,11833766,56745.7,2.5341444,
ca04,8.022e+11,6.066e+11,2.761e+10,5.582e+10,1.980e+11,9.547e+09,2.791e+10,4.672e+10,4.807e+09,1.403e+10,1,12555541,63893.85,2.4829612,
ca07,9.540e+11,7.177e+11,3.808e+10,5.733e+10,2.339e+11,1.417e+10,2.576e+10,5.702e+10,5.557e+09,9.494e+09,1,13148995,72550.425,2.4484007,
ca10,1.041e+12,7.739e+11,4.029e+10,6.027e+10,2.549e+11,1.511e+10,2.403e+10,5.969e+10,7.101e+09,8.222e+09,1,13602542,76547.285,2.4498701,
ca13,1.167e+12,8.522e+11,6.056e+10,5.541e+10,2.701e+11,2.660e+10,2.058e+10,5.426e+10,8.860e+09,4.534e+09,1,13878283,84056.36,2.4763277,
ca71,5.981e+10,5.162e+10,2.595e+09,2.864e+09,1.369e+10,8.543e+08,1.058e+09,2.714e+09,3.014e+08,4.397e+08,1,7489280,7986.236,2.8174324,
ca75,1.066e+11,8.985e+10,4.525e+09,5.572e+09,2.314e+10,1.227e+09,2.586e+09,4.376e+09,3.826e+08,1.229e+09,1,7787090,13683.487,2.8020082,
ca81,2.270e+11,1.834e+11,1.701e+10,1.165e+10,4.466e+10,5.175e+09,4.566e+09,7.463e+09,1.575e+09,1.981e+09,1,8952898,25351.373,2.6548636,
ca87,3.593e+11,2.868e+11,1.863e+10,2.012e+10,7.519e+10,5.051e+09,8.414e+09,1.368e+10,1.600e+09,3.129e+09,1,9304684,38618.687,2.7253563,
ca91,4.677e+11,3.586e+11,2.461e+10,2.593e+10,1.006e+11,6.614e+09,1.183e+10,1.983e+10,3.171e+09,4.547e+09,1,10116458,46229.727,2.6552992,
ca94,5.287e+11,4.047e+11,1.867e+10,2.989e+10,1.163e+11,5.180e+09,1.189e+10,2.231e+10,2.199e+09,4.887e+09,1,11243615,47023.845,2.5609572,
ca97,5.823e+11,4.511e+11,1.891e+10,3.902e+10,1.311e+11,5.626e+09,1.583e+10,2.527e+10,2.495e+09,6.146e+09,1,11807761,49315.079,2.5249436,
ca98,5.929e+11,4.456e+11,2.171e+10,3.360e+10,1.434e+11,7.641e+09,1.541e+10,3.351e+10,4.446e+09,6.697e+09,1,11438997,51829.976,2.5630672,
ch00,2.894e+11,2.167e+11,1.835e+10,2.123e+10,5.670e+10,6.821e+09,5.804e+09,1.202e+10,3.837e+09,1.967e+09,1,2999771.5,96460.439,2.3107927,
ch02,3.099e+11,2.324e+11,1.646e+10,3.166e+10,6.065e+10,4.481e+09,1.013e+10,1.242e+10,2.028e+09,4.733e+09,1,3049510.8,101638.43,2.3019416,
ch04,3.108e+11,2.318e+11,1.319e+10,2.388e+10,5.919e+10,3.972e+09,8.379e+09,1.083e+10,1.889e+09,2.725e+09,1,3155045.3,98523.585,2.2531598,
ch07,3.708e+11,2.838e+11,1.838e+10,3.309e+10,7.984e+10,7.247e+09,1.317e+10,1.985e+10,2.736e+09,5.887e+09,1,3193694,116089.18,2.3073885,
ch10,4.007e+11,3.044e+11,1.965e+10,2.140e+10,8.523e+10,8.673e+09,7.463e+09,2.018e+10,3.561e+09,1.701e+09,1,3332510.5,120230.95,2.2864683,
ch13,4.368e+11,3.284e+11,2.042e+10,2.896e+10,9.776e+10,6.887e+09,1.162e+10,2.305e+10,2.596e+09,3.216e+09,1,3641975.3,119929.08,2.2022245,
ch82,1.687e+11,1.358e+11,1.410e+10,1.733e+10,4.257e+10,6.145e+09,1.297e+10,1.237e+10,3.431e+09,5.193e+09,1,3128149,53938.232,1.9794924,
ch92,2.363e+11,1.665e+11,3.204e+10,1.910e+10,4.368e+10,1.549e+10,9.174e+09,7.099e+09,8.612e+09,3.431e+09,1,3004986,78621.144,2.3279467,
cz02,1.112e+12,8.337e+11,8.101e+09,1.629e+11,2.620e+11,3.131e+09,7.395e+10,5.758e+10,7.569e+08,2.986e+10,1,4053811,274393.42,2.5133548,
cz04,1.265e+12,9.501e+11,1.104e+10,1.942e+11,3.016e+11,5.544e+09,9.414e+10,7.316e+10,1.668e+09,4.189e+10,1,4012695.3,315125.24,2.5241146,
cz07,1.562e+12,1.173e+12,1.359e+10,2.304e+11,3.605e+11,7.768e+09,1.139e+11,7.739e+10,4.351e+09,4.681e+10,1,4081852.3,382680.27,2.5058749,
cz10,1.735e+12,1.281e+12,1.379e+10,2.418e+11,3.852e+11,6.041e+09,9.864e+10,7.752e+10,2.128e+09,3.190e+10,1,4180620.3,415076.95,2.4959354,
cz13,1.824e+12,1.338e+12,1.891e+10,2.451e+11,4.227e+11,9.163e+09,1.067e+11,9.434e+10,3.366e+09,3.451e+10,1,4304496.5,423805.06,2.3964288,
cz92,3.672e+11,2.621e+11,1.273e+09,2.888e+10,7.183e+10,7.924e+08,1.502e+10,1.515e+10,3.899e+08,6.239e+09,1,3836040.3,95724.32,2.6542904,
cz96,7.480e+11,5.940e+11,5.998e+09,8.930e+10,1.773e+11,3.343e+09,4.612e+10,3.986e+10,1.353e+09,2.079e+10,1,3822366,195697.89,2.6637721,
de00,2.815e+12,2.055e+12,1.087e+11,2.506e+11,6.299e+11,4.433e+10,1.332e+11,1.241e+11,1.901e+10,5.852e+10,1,38953728,72257.247,2.1345963,
de01,2.874e+12,2.079e+12,1.359e+11,2.472e+11,6.662e+11,6.250e+10,1.486e+11,1.425e+11,3.214e+10,6.785e+10,1,39197676,73325.324,2.1249619,
de02,1.511e+12,1.084e+12,6.721e+10,1.247e+11,3.446e+11,2.891e+10,7.357e+10,7.120e+10,1.378e+10,3.011e+10,1,39415532,38342.855,2.1148713,
de03,1.521e+12,1.078e+12,7.306e+10,1.216e+11,3.463e+11,4.097e+10,6.654e+10,7.171e+10,2.715e+10,2.702e+10,1,39604728,38403.984,2.1023386,
de04,1.527e+12,1.077e+12,7.540e+10,1.145e+11,3.453e+11,3.855e+10,6.258e+10,6.971e+10,2.334e+10,2.215e+10,1,39672688,38488.27,2.094286,
de05,1.547e+12,1.086e+12,7.582e+10,1.285e+11,3.698e+11,3.751e+10,7.847e+10,8.262e+10,2.248e+10,4.059e+10,1,40208992,38479.158,2.0651312,
de06,1.580e+12,1.105e+12,7.655e+10,1.246e+11,3.723e+11,3.450e+10,7.079e+10,7.687e+10,2.028e+10,3.339e+10,1,40182524,39308.278,2.0609639,
de07,1.635e+12,1.135e+12,9.013e+10,1.143e+11,3.839e+11,4.864e+10,6.498e+10,7.777e+10,3.205e+10,2.548e+10,1,40554568,40316.786,2.0401912,
de08,1.671e+12,1.182e+12,7.872e+10,1.231e+11,4.007e+11,3.583e+10,7.266e+10,8.810e+10,2.048e+10,3.701e+10,1,40647152,41105.328,2.0282879,
de09,1.669e+12,1.164e+12,7.493e+10,1.167e+11,3.974e+11,2.954e+10,6.484e+10,7.975e+10,1.629e+10,2.952e+10,1,40765748,40949.71,2.0176256,
de10,1.662e+12,1.174e+12,6.443e+10,1.183e+11,3.994e+11,2.341e+10,5.971e+10,8.154e+10,1.223e+10,2.592e+10,1,39863596,41692.676,2.0213633,
de11,1.718e+12,1.226e+12,6.762e+10,1.197e+11,4.187e+11,2.748e+10,6.276e+10,8.917e+10,1.439e+10,2.410e+10,1,40011220,42948.707,2.0165627,
de12,1.734e+12,1.230e+12,6.600e+10,1.151e+11,4.245e+11,2.623e+10,6.056e+10,8.755e+10,1.362e+10,2.957e+10,1,40280376,43038.072,2.0091851,
