ccyy,tot_inc,tot_L,tot_K,tot_S,tot_IR,b50_L,b50_K,b50_S,b50_IR,m40_L,m40_K,m40_S,m40_IR,t10_L,t10_K,t10_S,t10_IR,t1_L,t1_K,t1_S,t1_IR,defl,totw,mean_toti,nprs,waven
at00,1.684e+12,1.631e+12,6.535e+10,1.953e+11,0,1.650e+11,2.454e+10,2.035e+10,0,9.800e+11,2.766e+10,6.812e+10,0,4.859e+11,1.316e+10,1.068e+11,0,9.795e+10,1.628e+09,4.060e+10,0,1,6702592.5,264785.69,2.4264314,5
at04,1.062e+11,1.031e+11,3.151e+09,1.422e+10,1.543e+10,1.149e+10,7.866e+08,1.398e+09,6.162e+09,5.968e+10,1.005e+09,5.719e+09,6.650e+09,3.190e+10,1.359e+09,7.098e+09,2.615e+09,6.249e+09,7.382e+08,2.040e+09,3.783e+08,1,3482116.3,30506.977,2.3380694,6
at07,1.225e+11,1.175e+11,4.975e+09,1.503e+10,9.716e+09,1.065e+10,1.090e+09,1.642e+09,3.792e+09,6.810e+10,1.867e+09,7.086e+09,4.459e+09,3.874e+10,2.018e+09,6.304e+09,1.465e+09,8.020e+09,5.756e+08,2.227e+09,1.977e+08,1,3566489,34336.475,2.3108225,7
at10,1.335e+11,1.278e+11,5.681e+09,1.724e+10,1.292e+10,1.074e+10,1.184e+09,1.500e+09,5.249e+09,7.474e+10,2.004e+09,8.435e+09,5.750e+09,4.231e+10,2.492e+09,7.300e+09,1.921e+09,8.163e+09,1.054e+09,2.147e+09,2.447e+08,1,3650398.3,36563.415,2.278075,8
at13,1.470e+11,1.405e+11,6.446e+09,1.804e+10,1.179e+10,1.101e+10,1.492e+09,1.688e+09,4.866e+09,8.266e+10,2.454e+09,8.704e+09,5.260e+09,4.687e+10,2.500e+09,7.646e+09,1.666e+09,9.634e+09,1.323e+09,2.302e+09,1.709e+08,1,3761790,39072.748,2.2338765,9
at87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3479750.8,.,2.1780016,2
at94,7.780e+11,7.489e+11,3.143e+10,9.001e+10,0,6.833e+10,1.051e+10,9.150e+09,0,4.508e+11,1.172e+10,2.794e+10,0,2.298e+11,9.199e+09,5.292e+10,0,5.134e+10,2.886e+09,3.054e+10,0,1,3283474.8,248373.82,2.5070446,4
at95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3133118.3,.,2.5246336,4
at97,7.097e+11,6.852e+11,2.904e+10,7.119e+10,0,7.363e+10,9.518e+09,1.110e+10,0,4.099e+11,1.264e+10,2.330e+10,0,2.017e+11,6.877e+09,3.680e+10,0,4.048e+10,1.453e+09,1.780e+10,0,1,2943568,247158.14,2.4776554,4
ca00,5.402e+11,5.151e+11,2.514e+10,4.425e+10,0,5.704e+10,8.405e+09,6.029e+09,0,2.916e+11,8.477e+09,1.753e+10,0,1.665e+11,8.254e+09,2.069e+10,0,4.246e+10,3.673e+09,1.009e+10,0,1,11833766,45650.781,2.5341444,5
ca04,6.342e+11,6.066e+11,2.761e+10,5.582e+10,0,6.420e+10,9.257e+09,6.966e+09,0,3.443e+11,8.807e+09,2.090e+10,0,1.981e+11,9.547e+09,2.795e+10,0,4.672e+10,4.807e+09,1.403e+10,0,1,12555541,50508.9,2.4829612,6
ca07,7.558e+11,7.177e+11,3.808e+10,5.733e+10,0,8.102e+10,1.145e+10,8.937e+09,0,4.029e+11,1.246e+10,2.263e+10,0,2.338e+11,1.417e+10,2.576e+10,0,5.702e+10,5.557e+09,9.494e+09,0,1,13148995,57478.714,2.4484007,7
ca10,8.142e+11,7.739e+11,4.029e+10,6.027e+10,0,8.134e+10,1.054e+10,9.448e+09,0,4.377e+11,1.464e+10,2.680e+10,0,2.549e+11,1.511e+10,2.403e+10,0,5.957e+10,7.118e+09,8.222e+09,0,1,13602542,59859.05,2.4498701,8
ca13,9.127e+11,8.522e+11,6.056e+10,5.541e+10,0,9.121e+10,1.176e+10,9.723e+09,0,4.909e+11,2.220e+10,2.511e+10,0,2.701e+11,2.660e+10,2.058e+10,0,5.426e+10,8.860e+09,4.534e+09,0,1,13878283,65767.082,2.4763277,9
ca71,5.422e+10,5.162e+10,2.595e+09,2.864e+09,0,8.009e+09,8.114e+08,6.814e+08,0,2.992e+10,9.296e+08,1.125e+09,0,1.369e+10,8.542e+08,1.058e+09,0,2.714e+09,3.014e+08,4.397e+08,0,1,7489280,7239.2613,2.8174324,0
ca75,9.438e+10,8.985e+10,4.525e+09,5.572e+09,0,1.549e+10,1.665e+09,1.025e+09,0,5.122e+10,1.633e+09,1.961e+09,0,2.314e+10,1.227e+09,2.586e+09,0,4.376e+09,3.826e+08,1.229e+09,0,1,7787090,12119.66,2.8020082,0
ca81,2.004e+11,1.834e+11,1.701e+10,1.165e+10,0,3.265e+10,5.602e+09,2.211e+09,0,1.061e+11,6.236e+09,4.876e+09,0,4.466e+10,5.175e+09,4.566e+09,0,7.463e+09,1.575e+09,1.981e+09,0,1,8952898,22380.483,2.6548636,1
ca87,3.054e+11,2.868e+11,1.863e+10,2.012e+10,0,4.691e+10,6.850e+09,3.613e+09,0,1.647e+11,6.726e+09,8.095e+09,0,7.519e+10,5.051e+09,8.414e+09,0,1.368e+10,1.600e+09,3.129e+09,0,1,9304684,32824.195,2.7253563,2
