ccyy,currency,grossnet
at00,[40]ATS - Schilling (historic),[200]net, taxes and contributions not captured
at04,[978]EUR - Euro,[110]gross, taxes and contributions collected
at07,[978]EUR - Euro,[110]gross, taxes and contributions collected
at10,[978]EUR - Euro,[110]gross, taxes and contributions collected
at13,[978]EUR - Euro,[110]gross, taxes and contributions collected
at87,[40]ATS - Schilling (historic),[320]mixed, total income does not account for full taxes and contributions
at94,[40]ATS - Schilling (historic),[200]net, taxes and contributions not captured
at95,[40]ATS - Schilling (historic),[320]mixed, total income does not account for full taxes and contributions
at97,[40]ATS - Schilling (historic),[200]net, taxes and contributions not captured
ca00,[124]CAD - Canadian Dollar,[100]gross, taxes and contributions fully captured
ca04,[124]CAD - Canadian Dollar,[100]gross, taxes and contributions fully captured
ca07,[124]CAD - Canadian Dollar,[110]gross, taxes and contributions collected
ca10,[124]CAD - Canadian Dollar,[110]gross, taxes and contributions collected
ca13,[124]CAD - Canadian Dollar,[110]gross, taxes and contributions collected
ca71,[124]CAD - Canadian Dollar,[100]gross, taxes and contributions fully captured
ca75,[124]CAD - Canadian Dollar,[100]gross, taxes and contributions fully captured
ca81,[124]CAD - Canadian Dollar,[100]gross, taxes and contributions fully captured
ca87,[124]CAD - Canadian Dollar,[100]gross, taxes and contributions fully captured
ca91,[124]CAD - Canadian Dollar,[100]gross, taxes and contributions fully captured
ca94,[124]CAD - Canadian Dollar,[100]gross, taxes and contributions fully captured
ca97,[124]CAD - Canadian Dollar,[100]gross, taxes and contributions fully captured
ca98,[124]CAD - Canadian Dollar,[100]gross, taxes and contributions fully captured
ch00,[756]CHF - Swiss Franc,[100]gross, taxes and contributions fully captured
ch02,[756]CHF - Swiss Franc,[100]gross, taxes and contributions fully captured
ch04,[756]CHF - Swiss Franc,[100]gross, taxes and contributions fully captured
ch07,[756]CHF - Swiss Franc,[110]gross, taxes and contributions collected
ch10,[756]CHF - Swiss Franc,[110]gross, taxes and contributions collected
ch13,[756]CHF - Swiss Franc,[110]gross, taxes and contributions collected
ch82,[756]CHF - Swiss Franc,[100]gross, taxes and contributions fully captured
ch92,[756]CHF - Swiss Franc,[100]gross, taxes and contributions fully captured
cz02,[203]CZK - Czech Koruna,[120]gross, taxes and contributions imputed
cz04,[203]CZK - Czech Koruna,[100]gross, taxes and contributions fully captured
cz07,[203]CZK - Czech Koruna,[100]gross, taxes and contributions fully captured
cz10,[203]CZK - Czech Koruna,[100]gross, taxes and contributions fully captured
cz13,[203]CZK - Czech Koruna,[100]gross, taxes and contributions fully captured
cz92,[203]CZK - Czech Koruna,[100]gross, taxes and contributions fully captured
cz96,[203]CZK - Czech Koruna,[100]gross, taxes and contributions fully captured
de00,[276]DEM - Deutsche Mark (historic),[120]gross, taxes and contributions imputed
de01,[276]DEM - Deutsche Mark (historic),[120]gross, taxes and contributions imputed
de02,[978]EUR - Euro,[120]gross, taxes and contributions imputed
de03,[978]EUR - Euro,[120]gross, taxes and contributions imputed
de04,[978]EUR - Euro,[120]gross, taxes and contributions imputed
de05,[978]EUR - Euro,[120]gross, taxes and contributions imputed
de06,[978]EUR - Euro,[120]gross, taxes and contributions imputed
de07,[978]EUR - Euro,[120]gross, taxes and contributions imputed
de08,[978]EUR - Euro,[120]gross, taxes and contributions imputed
de09,[978]EUR - Euro,[120]gross, taxes and contributions imputed
de10,[978]EUR - Euro,[120]gross, taxes and contributions imputed
de11,[978]EUR - Euro,[120]gross, taxes and contributions imputed
de12,[978]EUR - Euro,[120]gross, taxes and contributions imputed
de13,[978]EUR - Euro,[120]gross, taxes and contributions imputed
de14,[978]EUR - Euro,[120]gross, taxes and contributions imputed
de15,[978]EUR - Euro,[120]gross, taxes and contributions imputed
de73,[276]DEM - Deutsche Mark (historic),[100]gross, taxes and contributions fully captured
de78,[276]DEM - Deutsche Mark (historic),[100]gross, taxes and contributions fully captured
de81,[276]DEM - Deutsche Mark (historic),[100]gross, taxes and contributions fully captured
de83,[276]DEM - Deutsche Mark (historic),[100]gross, taxes and contributions fully captured
de84,[276]DEM - Deutsche Mark (historic),[120]gross, taxes and contributions imputed
de87,[276]DEM - Deutsche Mark (historic),[120]gross, taxes and contributions imputed
de89,[276]DEM - Deutsche Mark (historic),[120]gross, taxes and contributions imputed
de91,[276]DEM - Deutsche Mark (historic),[120]gross, taxes and contributions imputed
de94,[276]DEM - Deutsche Mark (historic),[120]gross, taxes and contributions imputed
de95,[276]DEM - Deutsche Mark (historic),[120]gross, taxes and contributions imputed
de98,[276]DEM - Deutsche Mark (historic),[120]gross, taxes and contributions imputed
dk00,[208]DKK - Danish Krone,[110]gross, taxes and contributions collected
dk04,[208]DKK - Danish Krone,[110]gross, taxes and contributions collected
dk07,[208]DKK - Danish Krone,[110]gross, taxes and contributions collected
dk10,[208]DKK - Danish Krone,[110]gross, taxes and contributions collected
dk13,[208]DKK - Danish Krone,[110]gross, taxes and contributions collected
dk87,[208]DKK - Danish Krone,[110]gross, taxes and contributions collected
dk92,[208]DKK - Danish Krone,[110]gross, taxes and contributions collected
dk95,[208]DKK - Danish Krone,[110]gross, taxes and contributions collected
ee00,[233]EEK - Estonian Kroon (historic),[320]mixed, total income does not account for full taxes and contributions
ee04,[233]EEK - Estonian Kroon (historic),[100]gross, taxes and contributions fully captured
ee07,[233]EEK - Estonian Kroon (historic),[120]gross, taxes and contributions imputed
ee10,[233]EEK - Estonian Kroon (historic),[120]gross, taxes and contributions imputed
ee13,[978]EUR - Euro,[120]gross, taxes and contributions imputed
es00,[724]ESP - Spanish Peseta (historic),[200]net, taxes and contributions not captured
es04,[978]EUR - Euro,[200]net, taxes and contributions not captured
es07,[978]EUR - Euro,[110]gross, taxes and contributions collected
es10,[978]EUR - Euro,[110]gross, taxes and contributions collected
es13,[978]EUR - Euro,[110]gross, taxes and contributions collected
es80,[724]ESP - Spanish Peseta (historic),[200]net, taxes and contributions not captured
es85,[724]ESP - Spanish Peseta (historic),[200]net, taxes and contributions not captured
es90,[724]ESP - Spanish Peseta (historic),[200]net, taxes and contributions not captured
es95,[724]ESP - Spanish Peseta (historic),[200]net, taxes and contributions not captured
fi00,[246]FIM - Markka (historic),[110]gross, taxes and contributions collected
fi04,[978]EUR - Euro,[110]gross, taxes and contributions collected
fi07,[978]EUR - Euro,[110]gross, taxes and contributions collected
fi10,[978]EUR - Euro,[110]gross, taxes and contributions collected
fi13,[978]EUR - Euro,[110]gross, taxes and contributions collected
fi87,[246]FIM - Markka (historic),[110]gross, taxes and contributions collected
fi91,[246]FIM - Markka (historic),[110]gross, taxes and contributions collected
fi95,[246]FIM - Markka (historic),[110]gross, taxes and contributions collected
fr00,[250]FRF - French Franc (historic),[320]mixed, total income does not account for full taxes and contributions
fr05,[978]EUR - Euro,[320]mixed, total income does not account for full taxes and contributions
fr10,[978]EUR - Euro,[320]mixed, total income does not account for full taxes and contributions
fr78,[250]FRF - French Franc (historic),[320]mixed, total income does not account for full taxes and contributions
fr84,[250]FRF - French Franc (historic),[320]mixed, total income does not account for full taxes and contributions
fr89,[250]FRF - French Franc (historic),[320]mixed, total income does not account for full taxes and contributions
fr94,[250]FRF - French Franc (historic),[320]mixed, total income does not account for full taxes and contributions
gr00,[300]GRD - Drachma (historic),[200]net, taxes and contributions not captured
gr04,[978]EUR - Euro,[200]net, taxes and contributions not captured
gr07,[978]EUR - Euro,[120]gross, taxes and contributions imputed
gr10,[978]EUR - Euro,[120]gross, taxes and contributions imputed
gr13,[978]EUR - Euro,[120]gross, taxes and contributions imputed
gr95,[300]GRD - Drachma (historic),[200]net, taxes and contributions not captured
hu05,[348]HUF - Forint,[200]net, taxes and contributions not captured
hu07,[348]HUF - Forint,[200]net, taxes and contributions not captured
hu09,[348]HUF - Forint,[200]net, taxes and contributions not captured
hu12,[348]HUF - Forint,[200]net, taxes and contributions not captured
hu15,[348]HUF - Forint,[200]net, taxes and contributions not captured
hu91,[348]HUF - Forint,[200]net, taxes and contributions not captured
hu94,[348]HUF - Forint,[200]net, taxes and contributions not captured
hu99,[348]HUF - Forint,[200]net, taxes and contributions not captured
it00,[380]ITL - Italian Lira (historic),[200]net, taxes and contributions not captured
it04,[978]EUR - Euro,[200]net, taxes and contributions not captured
it08,[978]EUR - Euro,[200]net, taxes and contributions not captured
it10,[978]EUR - Euro,[200]net, taxes and contributions not captured
it14,[978]EUR - Euro,[200]net, taxes and contributions not captured
it86,[380]ITL - Italian Lira (historic),[200]net, taxes and contributions not captured
it87,[380]ITL - Italian Lira (historic),[200]net, taxes and contributions not captured
it89,[380]ITL - Italian Lira (historic),[200]net, taxes and contributions not captured
it91,[380]ITL - Italian Lira (historic),[200]net, taxes and contributions not captured
it93,[380]ITL - Italian Lira (historic),[200]net, taxes and contributions not captured
it95,[380]ITL - Italian Lira (historic),[200]net, taxes and contributions not captured
it98,[380]ITL - Italian Lira (historic),[200]net, taxes and contributions not captured
mx00,[484]MXN - Mexican Peso,[200]net, taxes and contributions not captured
mx02,[484]MXN - Mexican Peso,[200]net, taxes and contributions not captured
mx04,[484]MXN - Mexican Peso,[200]net, taxes and contributions not captured
mx08,[484]MXN - Mexican Peso,[200]net, taxes and contributions not captured
mx10,[484]MXN - Mexican Peso,[200]net, taxes and contributions not captured
mx12,[484]MXN - Mexican Peso,[200]net, taxes and contributions not captured
mx84,[903]MXP - old Mexican Peso (historic),[200]net, taxes and contributions not captured
mx89,[903]MXP - old Mexican Peso (historic),[200]net, taxes and contributions not captured
mx92,[903]MXP - old Mexican Peso (historic),[200]net, taxes and contributions not captured
mx94,[484]MXN - Mexican Peso,[200]net, taxes and contributions not captured
mx96,[484]MXN - Mexican Peso,[200]net, taxes and contributions not captured
mx98,[484]MXN - Mexican Peso,[200]net, taxes and contributions not captured
nl04,[978]EUR - Euro,[100]gross, taxes and contributions fully captured
nl07,[978]EUR - Euro,[110]gross, taxes and contributions collected
nl10,[978]EUR - Euro,[110]gross, taxes and contributions collected
nl13,[978]EUR - Euro,[110]gross, taxes and contributions collected
nl83,[528]NLG - Netherlands Guilder (historic),[100]gross, taxes and contributions fully captured
nl87,[528]NLG - Netherlands Guilder (historic),[100]gross, taxes and contributions fully captured
nl90,[528]NLG - Netherlands Guilder (historic),[100]gross, taxes and contributions fully captured
nl93,[528]NLG - Netherlands Guilder (historic),[100]gross, taxes and contributions fully captured
nl99,[528]NLG - Netherlands Guilder (historic),[100]gross, taxes and contributions fully captured
pl04,[985]PLN - Zloty,[320]mixed, total income does not account for full taxes and contributions
pl07,[985]PLN - Zloty,[320]mixed, total income does not account for full taxes and contributions
pl10,[985]PLN - Zloty,[320]mixed, total income does not account for full taxes and contributions
pl13,[985]PLN - Zloty,[320]mixed, total income does not account for full taxes and contributions
pl16,[985]PLN - Zloty,[320]mixed, total income does not account for full taxes and contributions
pl86,[616]PLZ - old Zloty (historic),[200]net, taxes and contributions not captured
pl92,[616]PLZ - old Zloty (historic),[200]net, taxes and contributions not captured
pl95,[985]PLN - Zloty,[320]mixed, total income does not account for full taxes and contributions
pl99,[985]PLN - Zloty,[320]mixed, total income does not account for full taxes and contributions
se00,[752]SEK - Swedish Krona,[110]gross, taxes and contributions collected
se05,[752]SEK - Swedish Krona,[110]gross, taxes and contributions collected
se67,[752]SEK - Swedish Krona,[110]gross, taxes and contributions collected
se75,[752]SEK - Swedish Krona,[110]gross, taxes and contributions collected
se81,[752]SEK - Swedish Krona,[110]gross, taxes and contributions collected
se87,[752]SEK - Swedish Krona,[110]gross, taxes and contributions collected
se92,[752]SEK - Swedish Krona,[110]gross, taxes and contributions collected
se95,[752]SEK - Swedish Krona,[110]gross, taxes and contributions collected
sk04,[703]SKK - Slovak Koruna (historic),[110]gross, taxes and contributions collected
sk07,[703]SKK - Slovak Koruna (historic),[110]gross, taxes and contributions collected
sk10,[978]EUR - Euro,[110]gross, taxes and contributions collected
sk13,[978]EUR - Euro,[110]gross, taxes and contributions collected
sk92,[703]SKK - Slovak Koruna (historic),[100]gross, taxes and contributions fully captured
sk96,[703]SKK - Slovak Koruna (historic),[200]net, taxes and contributions not captured
uk04,[826]GBP - Pound Sterling,[100]gross, taxes and contributions fully captured
uk07,[826]GBP - Pound Sterling,[110]gross, taxes and contributions collected
uk10,[826]GBP - Pound Sterling,[110]gross, taxes and contributions collected
uk13,[826]GBP - Pound Sterling,[110]gross, taxes and contributions collected
uk69,[826]GBP - Pound Sterling,[100]gross, taxes and contributions fully captured
uk74,[826]GBP - Pound Sterling,[100]gross, taxes and contributions fully captured
uk79,[826]GBP - Pound Sterling,[100]gross, taxes and contributions fully captured
uk86,[826]GBP - Pound Sterling,[100]gross, taxes and contributions fully captured
uk91,[826]GBP - Pound Sterling,[100]gross, taxes and contributions fully captured
uk94,[826]GBP - Pound Sterling,[100]gross, taxes and contributions fully captured
uk95,[826]GBP - Pound Sterling,[100]gross, taxes and contributions fully captured
uk99,[826]GBP - Pound Sterling,[100]gross, taxes and contributions fully captured
us00,[840]USD - US Dollar,[120]gross, taxes and contributions imputed
us04,[840]USD - US Dollar,[120]gross, taxes and contributions imputed
us07,[840]USD - US Dollar,[120]gross, taxes and contributions imputed
us10,[840]USD - US Dollar,[120]gross, taxes and contributions imputed
us13,[840]USD - US Dollar,[120]gross, taxes and contributions imputed
us16,[840]USD - US Dollar,[120]gross, taxes and contributions imputed
us74,[840]USD - US Dollar,[120]gross, taxes and contributions imputed
us79,[840]USD - US Dollar,[120]gross, taxes and contributions imputed
us86,[840]USD - US Dollar,[120]gross, taxes and contributions imputed
us91,[840]USD - US Dollar,[120]gross, taxes and contributions imputed
us94,[840]USD - US Dollar,[120]gross, taxes and contributions imputed
us97,[840]USD - US Dollar,[120]gross, taxes and contributions imputed
