ccyy,tot_inc,tot_L,tot_K,tot_S,tot_IR,tot_intdiv,tot_rent,b50_L,b50_K,b50_S,b50_IR,b50_intdiv,b50_rent,m40_L,m40_K,m40_S,m40_IR,m40_intdiv,m40_rent,t10_L,t10_K,t10_S,t10_IR,t10_intdiv,t10_rent,t1_L,t1_K,t1_S,t1_IR,t1_intdiv,t1_rent,totw,mean_toti,waven
at00,1.223e+11,1.185e+11,4.638e+09,1.419e+10,0,3.690e+09,9.771e+08,1.197e+10,1.710e+09,1.492e+09,0,1.364e+09,3.748e+08,7.125e+10,1.972e+09,4.938e+09,0,1.580e+09,3.918e+08,3.531e+10,9.561e+08,7.760e+09,0,7.456e+08,2.106e+08,7.118e+09,1.183e+08,2.950e+09,0,85405904,32918442,6702592.5,19225.589,5
at04,1.061e+11,1.031e+11,2.996e+09,1.409e+10,1.543e+10,1.279e+09,1.717e+09,1.145e+10,7.064e+08,1.372e+09,6.160e+09,3.656e+08,3.408e+08,5.973e+10,9.504e+08,5.645e+09,6.648e+09,4.360e+08,5.145e+08,3.188e+10,1.339e+09,7.069e+09,2.619e+09,4.770e+08,8.619e+08,6.249e+09,7.382e+08,2.038e+09,3.783e+08,1.330e+08,6.052e+08,3482116.3,30462.5,6
at07,1.222e+11,1.175e+11,4.747e+09,1.492e+10,9.716e+09,2.477e+09,2.270e+09,1.063e+10,9.696e+08,1.599e+09,3.801e+09,6.736e+08,2.960e+08,6.812e+10,1.761e+09,7.040e+09,4.451e+09,1.008e+09,7.527e+08,3.874e+10,2.017e+09,6.286e+09,1.465e+09,7.951e+08,1.222e+09,8.020e+09,5.756e+08,2.225e+09,1.977e+08,1.349e+08,4.407e+08,3566489,34272.715,7
at10,1.332e+11,1.278e+11,5.387e+09,1.724e+10,1.292e+10,2.599e+09,2.788e+09,1.068e+10,1.023e+09,1.480e+09,5.256e+09,6.084e+08,4.147e+08,7.480e+10,1.879e+09,8.455e+09,5.743e+09,8.606e+08,1.018e+09,4.231e+10,2.485e+09,7.300e+09,1.921e+09,1.130e+09,1.355e+09,8.163e+09,1.054e+09,2.147e+09,2.447e+08,4.823e+08,5.719e+08,3650398.3,36482.824,8
at13,1.459e+11,1.405e+11,5.346e+09,1.804e+10,1.179e+10,1.709e+09,3.637e+09,1.079e+10,1.043e+09,1.665e+09,4.896e+09,5.230e+08,5.205e+08,8.287e+10,1.982e+09,8.727e+09,5.228e+09,6.619e+08,1.320e+09,4.688e+10,2.320e+09,7.646e+09,1.667e+09,5.239e+08,1.796e+09,9.570e+09,1.232e+09,2.238e+09,1.705e+08,1.426e+08,1.090e+09,3761790,38780.146,9
at87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3479750.8,0,2
at94,5.654e+10,5.442e+10,2.284e+09,6.542e+09,0,0,0,4.965e+09,7.639e+08,6.650e+08,0,0,0,3.276e+10,8.520e+08,2.031e+09,0,0,0,1.670e+10,6.685e+08,3.846e+09,0,0,0,3.731e+09,2.097e+08,2.219e+09,0,0,0,3283474.8,18050.03,4
at95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3133118.3,0,4
at97,5.158e+10,4.979e+10,2.110e+09,5.174e+09,0,0,0,5.351e+09,6.917e+08,8.066e+08,0,0,0,2.979e+10,9.188e+08,1.693e+09,0,0,0,1.466e+10,4.998e+08,2.674e+09,0,0,0,2.942e+09,1.056e+08,1.294e+09,0,0,0,2943568,17961.683,4
ca00,5.402e+11,5.151e+11,2.514e+10,4.425e+10,0,0,0,5.704e+10,8.405e+09,6.029e+09,0,0,0,2.916e+11,8.477e+09,1.753e+10,0,0,0,1.665e+11,8.254e+09,2.069e+10,0,0,0,4.246e+10,3.673e+09,1.009e+10,0,0,0,11833766,45650.781,5
ca04,6.342e+11,6.066e+11,2.761e+10,5.582e+10,0,0,0,6.420e+10,9.257e+09,6.966e+09,0,0,0,3.443e+11,8.807e+09,2.090e+10,0,0,0,1.981e+11,9.547e+09,2.795e+10,0,0,0,4.672e+10,4.807e+09,1.403e+10,0,0,0,12555541,50508.9,6
ca07,7.558e+11,7.177e+11,3.808e+10,5.733e+10,0,0,0,8.102e+10,1.145e+10,8.937e+09,0,0,0,4.029e+11,1.246e+10,2.263e+10,0,0,0,2.338e+11,1.417e+10,2.576e+10,0,0,0,5.702e+10,5.557e+09,9.494e+09,0,0,0,13148995,57478.714,7
ca10,8.142e+11,7.739e+11,4.029e+10,6.027e+10,0,0,0,8.134e+10,1.054e+10,9.448e+09,0,0,0,4.377e+11,1.464e+10,2.680e+10,0,0,0,2.549e+11,1.511e+10,2.403e+10,0,0,0,5.957e+10,7.118e+09,8.222e+09,0,0,0,13602542,59859.05,8
ca13,9.127e+11,8.522e+11,6.056e+10,5.541e+10,0,0,0,9.121e+10,1.176e+10,9.723e+09,0,0,0,4.909e+11,2.220e+10,2.511e+10,0,0,0,2.701e+11,2.660e+10,2.058e+10,0,0,0,5.426e+10,8.860e+09,4.534e+09,0,0,0,13878283,65767.082,9
ca71,5.422e+10,5.162e+10,2.595e+09,2.864e+09,0,0,0,8.009e+09,8.114e+08,6.814e+08,0,0,0,2.992e+10,9.296e+08,1.125e+09,0,0,0,1.369e+10,8.542e+08,1.058e+09,0,0,0,2.714e+09,3.014e+08,4.397e+08,0,0,0,7489280,7239.2613,0
ca75,9.438e+10,8.985e+10,4.525e+09,5.572e+09,0,0,0,1.549e+10,1.665e+09,1.025e+09,0,0,0,5.122e+10,1.633e+09,1.961e+09,0,0,0,2.314e+10,1.227e+09,2.586e+09,0,0,0,4.376e+09,3.826e+08,1.229e+09,0,0,0,7787090,12119.66,0
ca81,2.004e+11,1.834e+11,1.701e+10,1.165e+10,0,0,0,3.265e+10,5.602e+09,2.211e+09,0,0,0,1.061e+11,6.236e+09,4.876e+09,0,0,0,4.466e+10,5.175e+09,4.566e+09,0,0,0,7.463e+09,1.575e+09,1.981e+09,0,0,0,8952898,22380.483,1
ca87,3.054e+11,2.868e+11,1.863e+10,2.012e+10,0,0,0,4.691e+10,6.850e+09,3.613e+09,0,0,0,1.647e+11,6.726e+09,8.095e+09,0,0,0,7.519e+10,5.051e+09,8.414e+09,0,0,0,1.368e+10,1.600e+09,3.129e+09,0,0,0,9304684,32824.195,2
ca91,3.832e+11,3.586e+11,2.461e+10,2.593e+10,0,0,0,5.045e+10,9.511e+09,3.701e+09,0,0,0,2.075e+11,8.488e+09,1.040e+10,0,0,0,1.006e+11,6.614e+09,1.183e+10,0,0,0,1.983e+10,3.171e+09,4.547e+09,0,0,0,10116458,37882.327,3
ca94,4.234e+11,4.047e+11,1.867e+10,2.989e+10,0,0,0,4.992e+10,6.915e+09,4.647e+09,0,0,0,2.385e+11,6.571e+09,1.335e+10,0,0,0,1.163e+11,5.180e+09,1.189e+10,0,0,0,2.231e+10,2.199e+09,4.887e+09,0,0,0,11243615,37656.464,4
ca97,4.700e+11,4.511e+11,1.891e+10,3.902e+10,0,0,0,5.409e+10,7.212e+09,5.685e+09,0,0,0,2.659e+11,6.076e+09,1.751e+10,0,0,0,1.311e+11,5.626e+09,1.583e+10,0,0,0,2.527e+10,2.495e+09,6.146e+09,0,0,0,11807761,39807.038,4
ca98,4.673e+11,4.456e+11,2.171e+10,3.360e+10,0,0,0,4.393e+10,7.352e+09,3.796e+09,0,0,0,2.583e+11,6.721e+09,1.439e+10,0,0,0,1.434e+11,7.641e+09,1.541e+10,0,0,0,3.351e+10,4.446e+09,6.697e+09,0,0,0,11438997,40852.158,5
ch00,2.346e+11,2.183e+11,1.624e+10,2.123e+10,0,9.525e+09,6.714e+09,3.746e+10,5.985e+09,5.589e+09,0,4.051e+09,1.934e+09,1.229e+11,4.244e+09,9.842e+09,0,2.357e+09,1.887e+09,5.791e+10,6.011e+09,5.803e+09,0,3.117e+09,2.893e+09,1.242e+10,3.704e+09,1.967e+09,0,1.885e+09,1.820e+09,2999771.5,78190.923,5
ch02,2.479e+11,2.336e+11,1.429e+10,3.166e+10,0,8.212e+09,6.079e+09,3.746e+10,6.587e+09,5.947e+09,0,4.318e+09,2.270e+09,1.350e+11,3.646e+09,1.570e+10,0,1.844e+09,1.803e+09,6.111e+10,4.058e+09,1.002e+10,0,2.051e+09,2.007e+09,1.263e+10,1.743e+09,4.733e+09,0,7.420e+08,1.001e+09,3049510.8,81278.048,5
ch04,2.440e+11,2.326e+11,1.142e+10,2.388e+10,0,6.451e+09,4.966e+09,3.717e+10,4.826e+09,6.158e+09,0,3.294e+09,1.532e+09,1.360e+11,3.001e+09,9.654e+09,0,1.517e+09,1.484e+09,5.939e+10,3.590e+09,8.070e+09,0,1.640e+09,1.950e+09,1.085e+10,1.307e+09,2.725e+09,0,5.669e+08,7.400e+08,3155045.3,77345.06,6
ch07,3.011e+11,2.838e+11,1.730e+10,3.309e+10,2.442e+10,1.103e+10,6.270e+09,4.640e+10,4.823e+09,5.460e+09,9.457e+09,3.562e+09,1.261e+09,1.575e+11,5.510e+09,1.446e+10,1.104e+10,3.493e+09,2.016e+09,7.984e+10,6.968e+09,1.317e+10,3.921e+09,3.975e+09,2.993e+09,1.977e+10,2.514e+09,5.823e+09,6.157e+08,1.379e+09,1.135e+09,3193694,94272.259,7
ch10,3.227e+11,3.044e+11,1.826e+10,2.140e+10,1.008e+10,1.193e+10,6.335e+09,4.780e+10,4.968e+09,3.781e+09,5.202e+09,3.486e+09,1.482e+09,1.714e+11,4.817e+09,1.016e+10,3.691e+09,2.833e+09,1.984e+09,8.524e+10,8.479e+09,7.457e+09,1.186e+09,5.610e+09,2.869e+09,2.012e+10,3.522e+09,1.675e+09,1.631e+08,2.495e+09,1.026e+09,3332510.5,96835.713,8
ch13,3.460e+11,3.284e+11,1.760e+10,2.896e+10,1.414e+10,9.049e+09,8.553e+09,4.897e+10,5.168e+09,5.496e+09,6.686e+09,3.200e+09,1.968e+09,1.815e+11,6.158e+09,1.193e+10,5.540e+09,2.245e+09,3.914e+09,9.796e+10,6.275e+09,1.153e+10,1.912e+09,3.604e+09,2.672e+09,2.305e+10,2.567e+09,3.216e+09,1.734e+08,1.585e+09,9.824e+08,3641975.3,95012.529,9
ch82,1.499e+11,1.358e+11,1.410e+10,1.733e+10,1.328e+10,0,0,2.178e+10,4.115e+09,4.489e+08,3.188e+09,0,0,7.144e+10,3.842e+09,3.913e+09,4.515e+09,0,0,4.257e+10,6.145e+09,1.297e+10,5.583e+09,0,0,1.237e+10,3.431e+09,5.193e+09,2.462e+09,0,0,3128149,47915.46,1
ch92,1.976e+11,1.665e+11,3.109e+10,1.910e+10,8.492e+09,0,0,2.545e+10,7.409e+09,2.843e+09,2.406e+09,0,0,9.721e+10,8.309e+09,6.814e+09,3.685e+09,0,0,4.388e+10,1.537e+10,9.445e+09,2.400e+09,0,0,7.099e+09,8.607e+09,3.431e+09,3.146e+08,0,0,3004986,65765.432,3
cl00,1.663e+13,1.602e+13,6.125e+11,4.045e+12,3.258e+12,1.109e+11,5.016e+11,1.993e+12,6.075e+10,4.370e+11,1.189e+12,3.617e+09,5.713e+10,6.963e+12,1.836e+11,1.351e+12,1.316e+12,1.172e+10,1.719e+11,7.063e+12,3.682e+11,2.256e+12,7.522e+11,9.557e+10,2.726e+11,2.168e+12,1.972e+11,8.982e+11,1.376e+11,7.410e+10,1.231e+11,3901619.3,4262911.1,5
cl03,1.859e+13,1.799e+13,5.975e+11,4.639e+12,3.575e+12,7.327e+10,5.242e+11,2.355e+12,7.039e+10,5.841e+11,1.269e+12,3.834e+09,6.656e+10,8.149e+12,1.633e+11,1.495e+12,1.433e+12,1.071e+10,1.526e+11,7.491e+12,3.638e+11,2.559e+12,8.732e+11,5.873e+10,3.051e+11,2.199e+12,1.671e+11,1.056e+12,2.134e+11,3.920e+10,1.279e+11,4130418.8,4501270,6
cl06,2.268e+13,2.199e+13,6.879e+11,5.203e+12,3.714e+12,6.096e+10,6.270e+11,3.111e+12,8.155e+10,6.443e+11,1.398e+12,2.829e+09,7.873e+10,1.033e+13,2.132e+11,1.952e+12,1.539e+12,1.157e+10,2.017e+11,8.556e+12,3.931e+11,2.606e+12,7.772e+11,4.657e+10,3.466e+11,2.234e+12,2.217e+11,1.032e+12,1.668e+11,3.054e+10,1.912e+11,4337081.5,5229649.2,7
cl09,2.795e+13,2.702e+13,9.369e+11,6.046e+12,4.733e+12,8.777e+10,8.491e+11,3.461e+12,8.096e+10,7.819e+11,1.824e+12,2.683e+09,7.828e+10,1.255e+13,2.603e+11,2.162e+12,1.873e+12,1.323e+10,2.471e+11,1.100e+13,5.956e+11,3.103e+12,1.036e+12,7.186e+10,5.238e+11,2.850e+12,3.841e+11,1.379e+12,2.683e+11,5.164e+10,3.325e+11,4685490,5965838.3,8
cl11,3.156e+13,3.087e+13,6.894e+11,6.072e+12,5.248e+12,4.042e+10,6.489e+11,4.029e+12,8.981e+10,8.259e+11,2.057e+12,3.297e+09,8.651e+10,1.448e+13,2.284e+11,2.254e+12,2.011e+12,4.916e+09,2.235e+11,1.236e+13,3.712e+11,2.992e+12,1.180e+12,3.220e+10,3.390e+11,3.336e+12,1.025e+11,9.869e+11,2.756e+11,2.159e+10,8.096e+10,4966890,6354641.7,8
cl13,4.078e+13,3.990e+13,8.768e+11,7.698e+12,7.122e+12,6.208e+10,8.147e+11,5.259e+12,1.127e+11,1.089e+12,2.818e+12,4.157e+09,1.085e+11,1.884e+13,2.483e+11,3.055e+12,2.814e+12,1.617e+10,2.321e+11,1.580e+13,5.158e+11,3.554e+12,1.490e+12,4.175e+10,4.741e+11,4.293e+12,1.795e+11,1.308e+12,3.075e+11,9.567e+09,1.699e+11,5273828,7731861.7,9
cl15,4.515e+13,4.386e+13,1.289e+12,8.469e+12,1.023e+13,1.448e+11,1.144e+12,5.538e+12,1.649e+11,1.185e+12,4.477e+12,7.958e+09,1.569e+11,2.078e+13,3.556e+11,3.193e+12,3.795e+12,1.601e+10,3.396e+11,1.755e+13,7.683e+11,4.091e+12,1.961e+12,1.208e+11,6.475e+11,4.720e+12,3.614e+11,1.584e+12,4.454e+11,7.857e+10,2.828e+11,5454914,8276755.4,10
cl90,3.306e+12,3.211e+12,9.403e+10,9.416e+11,6.980e+11,1.820e+10,7.583e+10,4.206e+11,9.659e+09,1.077e+11,2.236e+11,8.280e+08,8.831e+09,1.422e+12,2.750e+10,3.184e+11,2.904e+11,3.478e+09,2.402e+10,1.369e+12,5.688e+10,5.155e+11,1.841e+11,1.390e+10,4.298e+10,3.998e+11,1.950e+10,2.292e+11,3.562e+10,8.350e+09,1.115e+10,3180536,1039293.3,3
cl92,5.975e+12,5.784e+12,1.907e+11,1.692e+12,1.218e+12,4.953e+10,1.412e+11,7.943e+11,1.708e+10,1.980e+11,3.960e+11,1.531e+09,1.555e+10,2.546e+12,5.731e+10,5.783e+11,4.918e+11,8.048e+09,4.926e+10,2.444e+12,1.163e+11,9.162e+11,3.297e+11,3.995e+10,7.640e+10,7.418e+11,5.483e+10,3.726e+11,8.409e+10,2.521e+10,2.962e+10,3387757,1763632.3,3
cl94,8.805e+12,8.541e+12,2.634e+11,2.103e+12,1.893e+12,2.754e+10,2.359e+11,1.084e+12,2.419e+10,2.599e+11,6.532e+11,1.759e+09,2.243e+10,3.871e+12,9.718e+10,6.955e+11,7.966e+11,5.719e+09,9.146e+10,3.586e+12,1.421e+11,1.148e+12,4.434e+11,2.006e+10,1.220e+11,1.080e+12,4.469e+10,5.875e+11,8.366e+10,5.526e+09,3.916e+10,3556009,2476010.1,4
cl96,1.177e+13,1.139e+13,3.810e+11,3.024e+12,2.382e+12,3.645e+10,3.446e+11,1.556e+12,3.816e+10,3.522e+11,7.949e+11,3.325e+09,3.484e+10,5.186e+12,1.317e+11,1.045e+12,1.007e+12,9.455e+09,1.223e+11,4.645e+12,2.112e+11,1.627e+12,5.808e+11,2.367e+10,1.875e+11,1.273e+12,9.642e+10,5.587e+11,1.373e+11,1.007e+10,8.634e+10,3623448,3248002.7,4
cl98,1.439e+13,1.390e+13,4.956e+11,3.617e+12,2.860e+12,7.109e+10,4.245e+11,1.862e+12,4.409e+10,4.066e+11,1.018e+12,3.907e+09,4.018e+10,6.301e+12,1.483e+11,1.293e+12,1.190e+12,8.345e+09,1.400e+11,5.733e+12,3.032e+11,1.918e+12,6.520e+11,5.884e+10,2.443e+11,1.600e+12,1.387e+11,6.988e+11,1.227e+11,3.558e+10,1.031e+11,3777035.8,3810057.1,5
cz02,8.517e+11,8.445e+11,7.178e+09,1.629e+11,0,2.714e+09,4.447e+09,9.368e+10,1.188e+09,1.338e+10,0,4.764e+08,7.071e+08,4.855e+11,3.633e+09,7.559e+10,0,1.417e+09,2.211e+09,2.653e+11,2.357e+09,7.389e+10,0,8.208e+08,1.529e+09,5.858e+10,3.564e+08,2.986e+10,0,98754088,2.577e+08,4053811,210090.4,5
cz04,9.649e+11,9.547e+11,1.014e+10,1.942e+11,0,3.219e+09,6.924e+09,1.036e+11,1.620e+09,1.462e+10,0,6.942e+08,9.257e+08,5.487e+11,3.242e+09,8.540e+10,0,1.150e+09,2.093e+09,3.025e+11,5.280e+09,9.414e+10,0,1.375e+09,3.905e+09,7.330e+10,1.668e+09,4.189e+10,0,8.358e+08,8.327e+08,4012695.3,240455.17,6
